head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence
L0.H2,0,"10, 11,",0.009033203125,-0.140625,False,1,3.2723989486694336,3.305497169494629,0.03309822082519531,0.006042497232556343
L0.H2,1,"3, 4,",0.006103515625,-0.0078125,False,1,3.762195587158203,3.7210841178894043,-0.04111146926879883,0.007399064488708973
L0.H2,2,"Monday, Tuesday,",-0.09716796875,-0.546875,False,1,1.582030177116394,2.0474801063537598,0.4654499292373657,0.025290044024586678
L0.H2,3,"5, 6,",0.000244140625,-0.09375,False,1,3.500905990600586,3.5439748764038086,0.043068885803222656,0.00687048863619566
L0.H2,4,"4, 5,",-0.0137939453125,-0.1875,True,2,3.9696288108825684,3.9757490158081055,0.006120204925537109,0.01007034257054329
L0.H2,5,"7, 8,",0.0078125,-0.0703125,False,1,3.577009677886963,3.6340534687042236,0.05704379081726074,0.009490234777331352
L0.H2,6,"North, East,",0.0,0.0078125,False,1,2.096099615097046,2.1175620555877686,0.021462440490722656,0.0004292791709303856
L0.H2,7,"20, 21,",0.009033203125,0.0234375,False,1,3.33726167678833,3.3118581771850586,-0.025403499603271484,0.0020946909207850695
L0.H2,8,"Saturday, Sunday,",-0.060546875,-0.3203125,False,1,2.383121967315674,2.739759683609009,0.35663771629333496,0.010780410841107368
L0.H2,9,"February, March,",-0.03955078125,-0.109375,False,1,1.405761480331421,1.5201566219329834,0.1143951416015625,0.003961904905736446
L0.H2,10,"2, 3,",0.0169677734375,-0.0703125,False,1,3.9650635719299316,3.8366811275482178,-0.12838244438171387,0.012584022246301174
L0.H2,11,"T, U,",0.0194091796875,0.15625,False,1,4.526601791381836,4.443772792816162,-0.08282899856567383,0.005381277296692133
L0.H2,12,"B, C,",0.020751953125,0.0390625,False,1,2.532994031906128,2.52656888961792,-0.006425142288208008,0.003482293337583542
L0.H2,13,"Up, Down,",-0.011962890625,-0.0546875,False,1,3.3893039226531982,3.457242965698242,0.06793904304504395,0.0013681789860129356
L0.H2,14,"April, May,",-0.03076171875,-0.1875,False,1,1.6733434200286865,1.819920539855957,0.1465771198272705,0.0032059107907116413
L0.H2,15,"100, 101,",0.01806640625,0.109375,False,1,3.5318715572357178,3.451634407043457,-0.08023715019226074,0.005106570199131966
L0.H2,16,"Tuesday, Wednesday,",-0.14013671875,-0.6875,False,1,2.9783997535705566,3.4725756645202637,0.49417591094970703,0.06529059261083603
L0.H2,17,"Thursday, Friday,",-0.1142578125,-0.5859375,False,1,2.369088649749756,2.955521821975708,0.5864331722259521,0.03796245530247688
L0.H2,18,"March, April,",-0.03662109375,-0.109375,False,1,1.3285362720489502,1.4378329515457153,0.10929667949676514,0.0035390283446758986
L0.H2,19,"East, South,",0.01318359375,-0.0546875,False,1,2.7817726135253906,2.845384120941162,0.06361150741577148,0.003054369240999222
L0.H2,20,"Friday, Saturday,",-0.04541015625,-0.296875,False,1,2.5033023357391357,2.745642900466919,0.2423405647277832,0.007338416762650013
L0.H2,21,"99, 100,",0.0037841796875,0.046875,False,1,4.915748596191406,4.880368232727051,-0.03538036346435547,0.0026424042880535126
L0.H2,22,"A, B,",0.02685546875,0.0859375,False,1,2.140479326248169,2.1014370918273926,-0.03904223442077637,0.004344980698078871
L0.H2,23,"January, February,",-0.03759765625,-0.1875,False,1,1.2851768732070923,1.4176121950149536,0.13243532180786133,0.003842286765575409
L0.H2,24,"May, June,",-0.04052734375,-0.1875,False,1,1.3450031280517578,1.486413836479187,0.1414107084274292,0.0040413374081254005
L0.H2,25,"1, 2,",0.009765625,0.0078125,False,1,3.0380711555480957,3.0543298721313477,0.016258716583251953,0.007115078158676624
L0.H2,26,"November, December,",-0.041015625,-0.140625,False,1,2.9685099124908447,3.0721676349639893,0.10365772247314453,0.0062245652079582214
L0.H3,0,"10, 11,",0.019775390625,0.0546875,False,1,3.2723989486694336,3.1911208629608154,-0.08127808570861816,0.001847355393692851
L0.H3,1,"3, 4,",0.0133056640625,0.03125,False,1,3.762195587158203,3.7277233600616455,-0.03447222709655762,0.0030530071817338467
L0.H3,2,"Monday, Tuesday,",0.01220703125,0.0625,False,1,1.582030177116394,1.5257747173309326,-0.056255459785461426,0.0008665478089824319
L0.H3,3,"5, 6,",0.006591796875,0.03125,False,1,3.500905990600586,3.462268352508545,-0.038637638092041016,0.0014759143814444542
L0.H3,4,"4, 5,",0.005859375,0.015625,False,1,3.9696288108825684,3.9504213333129883,-0.019207477569580078,0.0014788273256272078
L0.H3,5,"7, 8,",0.01904296875,0.109375,False,1,3.577009677886963,3.4875147342681885,-0.08949494361877441,0.0024255411699414253
L0.H3,6,"North, East,",0.000244140625,0.0,False,1,2.096099615097046,2.0960562229156494,-4.3392181396484375e-05,-2.7337082428857684e-06
L0.H3,7,"20, 21,",0.01806640625,0.109375,False,1,3.33726167678833,3.248349189758301,-0.0889124870300293,0.0015346892178058624
L0.H3,8,"Saturday, Sunday,",0.0029296875,0.0078125,False,1,2.383121967315674,2.364961624145508,-0.018160343170166016,7.694895612075925e-05
L0.H3,9,"February, March,",0.00732421875,0.03125,False,1,1.405761480331421,1.3855527639389038,-0.02020871639251709,0.00019483797950670123
L0.H3,10,"2, 3,",0.004150390625,0.0,False,1,3.9650635719299316,3.9153923988342285,-0.049671173095703125,0.0013490261044353247
L0.H3,11,"T, U,",0.0078125,0.09375,False,1,4.526601791381836,4.464705944061279,-0.06189584732055664,0.0011508207535371184
L0.H3,12,"B, C,",-0.004638671875,0.046875,False,1,2.532994031906128,2.5233399868011475,-0.009654045104980469,0.0005703484639525414
L0.H3,13,"Up, Down,",0.006103515625,0.0390625,False,1,3.3893039226531982,3.3555521965026855,-0.033751726150512695,0.000446186400949955
L0.H3,14,"April, May,",0.01416015625,0.078125,False,1,1.6733434200286865,1.622541904449463,-0.05080151557922363,0.0009619303746148944
L0.H3,15,"100, 101,",0.009033203125,0.0703125,False,1,3.5318715572357178,3.498002767562866,-0.03386878967285156,0.00035900628427043557
L0.H3,16,"Tuesday, Wednesday,",0.0263671875,0.1171875,False,1,2.9783997535705566,2.8933870792388916,-0.08501267433166504,0.003044921439141035
L0.H3,17,"Thursday, Friday,",0.01220703125,0.0546875,False,1,2.369088649749756,2.312177896499634,-0.05691075325012207,0.0012332774931564927
L0.H3,18,"March, April,",0.01123046875,0.0625,False,1,1.3285362720489502,1.2938953638076782,-0.03464090824127197,0.001086248317733407
L0.H3,19,"East, South,",-0.00439453125,-0.0078125,False,1,2.7817726135253906,2.7827701568603516,0.0009975433349609375,0.0004994845949113369
L0.H3,20,"Friday, Saturday,",0.01123046875,0.0390625,False,1,2.5033023357391357,2.458798885345459,-0.04450345039367676,0.0010472886497154832
L0.H3,21,"99, 100,",0.0072021484375,0.0625,False,1,4.915748596191406,4.890379428863525,-0.02536916732788086,0.0009278785437345505
L0.H3,22,"A, B,",0.00732421875,0.109375,False,1,2.140479326248169,2.082850217819214,-0.05762910842895508,0.0010605892166495323
L0.H3,23,"January, February,",0.00146484375,0.015625,False,1,1.2851768732070923,1.278925895690918,-0.006250977516174316,0.00038086657878011465
L0.H3,24,"May, June,",0.0107421875,0.0625,False,1,1.3450031280517578,1.305040955543518,-0.039962172508239746,0.0005974338855594397
L0.H3,25,"1, 2,",0.006591796875,0.0234375,False,1,3.0380711555480957,2.9994242191314697,-0.03864693641662598,0.0014005745761096478
L0.H3,26,"November, December,",0.000732421875,0.0078125,False,1,2.9685099124908447,2.962754726409912,-0.005755186080932617,0.00011579420242924243
L0.H4,0,"10, 11,",0.018798828125,0.1015625,False,1,3.2723989486694336,3.15043568611145,-0.1219632625579834,0.004683850333094597
L0.H4,1,"3, 4,",0.0135498046875,0.0546875,False,1,3.762195587158203,3.721633195877075,-0.04056239128112793,0.0022430794779211283
L0.H4,2,"Monday, Tuesday,",0.0029296875,0.015625,False,1,1.582030177116394,1.5702052116394043,-0.011824965476989746,0.0001434161968063563
L0.H4,3,"5, 6,",0.035888671875,0.203125,False,1,3.500905990600586,3.357661008834839,-0.14324498176574707,0.007106604985892773
L0.H4,4,"4, 5,",0.0103759765625,-0.0078125,False,1,3.9696288108825684,3.9215755462646484,-0.04805326461791992,0.0036205672658979893
L0.H4,5,"7, 8,",0.038818359375,0.28125,False,1,3.577009677886963,3.383382797241211,-0.19362688064575195,0.007091892883181572
L0.H4,6,"North, East,",-0.002685546875,-0.109375,False,1,2.096099615097046,2.145679473876953,0.04957985877990723,0.0006292751058936119
L0.H4,7,"20, 21,",0.007568359375,0.0703125,False,1,3.33726167678833,3.285935878753662,-0.05132579803466797,0.0011895645875483751
L0.H4,8,"Saturday, Sunday,",-0.02685546875,-0.1953125,False,1,2.383121967315674,2.5677311420440674,0.18460917472839355,0.0037966715171933174
L0.H4,9,"February, March,",-0.0087890625,-0.0625,False,1,1.405761480331421,1.44161057472229,0.03584909439086914,0.00022312242072075605
L0.H4,10,"2, 3,",0.0054931640625,0.09375,False,1,3.9650635719299316,3.944174289703369,-0.0208892822265625,0.002866863738745451
L0.H4,11,"T, U,",0.013427734375,0.171875,False,1,4.526601791381836,4.367097854614258,-0.15950393676757812,0.005054596345871687
L0.H4,12,"B, C,",0.002685546875,0.015625,False,1,2.532994031906128,2.489212989807129,-0.04378104209899902,0.0009949442464858294
L0.H4,13,"Up, Down,",-0.014892578125,-0.0546875,False,1,3.3893039226531982,3.4157299995422363,0.026426076889038086,0.0010818969458341599
L0.H4,14,"April, May,",-0.01025390625,-0.046875,False,1,1.6733434200286865,1.702980399131775,0.02963697910308838,0.000640153419226408
L0.H4,15,"100, 101,",-0.00390625,-0.0078125,False,1,3.5318715572357178,3.5346572399139404,0.0027856826782226562,0.0005414565093815327
L0.H4,16,"Tuesday, Wednesday,",0.00244140625,0.0078125,False,1,2.9783997535705566,2.981868267059326,0.0034685134887695312,0.001445195870473981
L0.H4,17,"Thursday, Friday,",-0.009765625,-0.046875,False,1,2.369088649749756,2.397843360900879,0.028754711151123047,0.002168713603168726
L0.H4,18,"March, April,",-0.0029296875,-0.015625,False,1,1.3285362720489502,1.3411601781845093,0.012623906135559082,0.0008424365660175681
L0.H4,19,"East, South,",-0.005859375,-0.0859375,False,1,2.7817726135253906,2.820622444152832,0.038849830627441406,0.0009058029390871525
L0.H4,20,"Friday, Saturday,",-0.00830078125,-0.109375,False,1,2.5033023357391357,2.564580202102661,0.06127786636352539,0.0012784721329808235
L0.H4,21,"99, 100,",0.001953125,0.0859375,False,1,4.915748596191406,4.858288764953613,-0.05745983123779297,0.004578507971018553
L0.H4,22,"A, B,",-0.01416015625,-0.078125,False,1,2.140479326248169,2.1909172534942627,0.05043792724609375,0.0012150853872299194
L0.H4,23,"January, February,",-0.00390625,-0.03125,False,1,1.2851768732070923,1.3027971982955933,0.017620325088500977,0.000523371621966362
L0.H4,24,"May, June,",-0.013671875,-0.09375,False,1,1.3450031280517578,1.3919224739074707,0.04691934585571289,0.00043085438665002584
L0.H4,25,"1, 2,",0.009033203125,0.0625,False,1,3.0380711555480957,2.986180305480957,-0.05189085006713867,0.001906106248497963
L0.H4,26,"November, December,",-0.017333984375,-0.109375,False,1,2.9685099124908447,3.035120964050293,0.06661105155944824,0.0014959098771214485
L0.H5,0,"10, 11,",0.0458984375,0.2890625,False,1,3.2723989486694336,3.025402069091797,-0.24699687957763672,0.01830514706671238
L0.H5,1,"3, 4,",0.0208740234375,0.0234375,False,1,3.762195587158203,3.728961944580078,-0.033233642578125,0.004305112641304731
L0.H5,2,"Monday, Tuesday,",-0.0205078125,-0.078125,False,1,1.582030177116394,1.6580064296722412,0.07597625255584717,0.0016388751100748777
L0.H5,3,"5, 6,",0.0263671875,0.21875,False,1,3.500905990600586,3.3842310905456543,-0.11667490005493164,0.010721620172262192
L0.H5,4,"4, 5,",0.0147705078125,0.0234375,False,1,3.9696288108825684,4.011486530303955,0.04185771942138672,0.005781168583780527
L0.H5,5,"7, 8,",0.0341796875,0.296875,False,1,3.577009677886963,3.4070513248443604,-0.16995835304260254,0.008218478411436081
L0.H5,6,"North, East,",-0.000732421875,0.0,False,1,2.096099615097046,2.1059226989746094,0.009823083877563477,0.0008843597024679184
L0.H5,7,"20, 21,",0.012451171875,0.15625,False,1,3.33726167678833,3.2386889457702637,-0.0985727310180664,0.004649321082979441
L0.H5,8,"Saturday, Sunday,",-0.0185546875,-0.078125,False,1,2.383121967315674,2.4790754318237305,0.09595346450805664,0.0026783854700624943
L0.H5,9,"February, March,",-0.005859375,-0.0625,False,1,1.405761480331421,1.4294514656066895,0.023689985275268555,0.0002747960388660431
L0.H5,10,"2, 3,",0.015625,0.0703125,False,1,3.9650635719299316,4.0045061111450195,0.03944253921508789,0.0035129357129335403
L0.H5,11,"T, U,",0.006103515625,0.09375,False,1,4.526601791381836,4.4606170654296875,-0.06598472595214844,0.003957429900765419
L0.H5,12,"B, C,",-0.0087890625,0.0078125,False,1,2.532994031906128,2.5254693031311035,-0.007524728775024414,0.0012074131518602371
L0.H5,13,"Up, Down,",0.0048828125,-0.03125,False,1,3.3893039226531982,3.3949074745178223,0.0056035518646240234,0.0009813057258725166
L0.H5,14,"April, May,",-0.009765625,-0.03125,False,1,1.6733434200286865,1.6940586566925049,0.02071523666381836,0.000851459102705121
L0.H5,15,"100, 101,",0.0048828125,0.0546875,False,1,3.5318715572357178,3.485792636871338,-0.04607892036437988,0.003347452264279127
L0.H5,16,"Tuesday, Wednesday,",-0.024169921875,-0.0546875,False,1,2.9783997535705566,2.978463649749756,6.389617919921875e-05,0.003468284383416176
L0.H5,17,"Thursday, Friday,",-0.01318359375,-0.078125,False,1,2.369088649749756,2.4144814014434814,0.045392751693725586,0.001945285010151565
L0.H5,18,"March, April,",-0.0048828125,-0.015625,False,1,1.3285362720489502,1.342943787574768,0.014407515525817871,0.0005726917879655957
L0.H5,19,"East, South,",-0.003173828125,0.0234375,False,1,2.7817726135253906,2.7595601081848145,-0.022212505340576172,0.0008011739701032639
L0.H5,20,"Friday, Saturday,",-0.01708984375,-0.140625,False,1,2.5033023357391357,2.582512617111206,0.07921028137207031,0.0013131105806678534
L0.H5,21,"99, 100,",-0.013671875,0.0,True,2,4.915748596191406,4.834900379180908,-0.08084821701049805,0.02411140687763691
L0.H5,22,"A, B,",-0.009765625,-0.0078125,False,1,2.140479326248169,2.1409080028533936,0.0004286766052246094,0.0010924562811851501
L0.H5,23,"January, February,",-0.00341796875,-0.0625,False,1,1.2851768732070923,1.2970685958862305,0.011891722679138184,7.84122385084629e-05
L0.H5,24,"May, June,",-0.0126953125,-0.046875,False,1,1.3450031280517578,1.3811557292938232,0.03615260124206543,0.0007543284446001053
L0.H5,25,"1, 2,",0.024169921875,0.0703125,False,1,3.0380711555480957,3.0039944648742676,-0.034076690673828125,0.006476830691099167
L0.H5,26,"November, December,",-0.026611328125,-0.1171875,False,1,2.9685099124908447,3.056044578552246,0.08753466606140137,0.0027315206825733185
L0.H6,0,"10, 11,",0.07568359375,0.140625,False,1,3.2723989486694336,3.0423922538757324,-0.23000669479370117,0.01703604869544506
L0.H6,1,"3, 4,",0.03564453125,0.109375,False,1,3.762195587158203,3.752744674682617,-0.009450912475585938,0.013510625809431076
L0.H6,2,"Monday, Tuesday,",0.04052734375,0.1875,False,1,1.582030177116394,1.4233707189559937,-0.1586594581604004,0.00718306191265583
L0.H6,3,"5, 6,",0.044921875,0.296875,False,1,3.500905990600586,3.4176573753356934,-0.08324861526489258,0.01542176865041256
L0.H6,4,"4, 5,",0.0357666015625,0.28125,False,1,3.9696288108825684,4.046666622161865,0.07703781127929688,0.034966256469488144
L0.H6,5,"7, 8,",-0.021240234375,-0.1796875,False,1,3.577009677886963,3.7541451454162598,0.17713546752929688,0.014673332683742046
L0.H6,6,"North, East,",-0.013427734375,-0.046875,False,1,2.096099615097046,2.11899471282959,0.022895097732543945,0.0007065460085868835
L0.H6,7,"20, 21,",0.02587890625,0.0546875,False,1,3.33726167678833,3.2486355304718018,-0.08862614631652832,0.004026236943900585
L0.H6,8,"Saturday, Sunday,",0.0283203125,0.15625,False,1,2.383121967315674,2.2424683570861816,-0.1406536102294922,0.007298595272004604
L0.H6,9,"February, March,",-0.00341796875,-0.09375,False,1,1.405761480331421,1.4376450777053833,0.0318835973739624,0.00047961086966097355
L0.H6,10,"2, 3,",0.0030517578125,-0.0078125,False,1,3.9650635719299316,4.068010330200195,0.10294675827026367,0.014970511198043823
L0.H6,11,"T, U,",-0.0157470703125,-0.1328125,False,1,4.526601791381836,4.6208930015563965,0.09429121017456055,0.0043701548129320145
L0.H6,12,"B, C,",0.003173828125,0.140625,False,1,2.532994031906128,2.4616940021514893,-0.07130002975463867,0.003130793571472168
L0.H6,13,"Up, Down,",-0.00537109375,-0.0234375,False,1,3.3893039226531982,3.3922770023345947,0.0029730796813964844,0.0007427879609167576
L0.H6,14,"April, May,",-0.01708984375,-0.140625,False,1,1.6733434200286865,1.7717382907867432,0.09839487075805664,0.002588912844657898
L0.H6,15,"100, 101,",0.009033203125,0.015625,False,1,3.5318715572357178,3.4762978553771973,-0.05557370185852051,0.005318926181644201
L0.H6,16,"Tuesday, Wednesday,",0.052490234375,0.25,False,1,2.9783997535705566,2.804046392440796,-0.17435336112976074,0.016676299273967743
L0.H6,17,"Thursday, Friday,",0.05322265625,0.203125,False,1,2.369088649749756,2.1462697982788086,-0.22281885147094727,0.01615864969789982
L0.H6,18,"March, April,",0.01904296875,-0.015625,False,1,1.3285362720489502,1.2774029970169067,-0.05113327503204346,0.0018787834560498595
L0.H6,19,"East, South,",0.02294921875,0.0546875,False,1,2.7817726135253906,2.757124900817871,-0.02464771270751953,0.0023682909086346626
L0.H6,20,"Friday, Saturday,",0.07470703125,0.25,False,1,2.5033023357391357,2.2621636390686035,-0.24113869667053223,0.016929559409618378
L0.H6,21,"99, 100,",-0.00341796875,0.0,True,2,4.915748596191406,4.8310627937316895,-0.0846858024597168,0.01024848036468029
L0.H6,22,"A, B,",-0.01611328125,0.0390625,False,1,2.140479326248169,2.1352298259735107,-0.005249500274658203,0.0022073970176279545
L0.H6,23,"January, February,",0.001953125,-0.09375,False,1,1.2851768732070923,1.3060486316680908,0.020871758460998535,0.0007027795072644949
L0.H6,24,"May, June,",0.01513671875,-0.078125,False,1,1.3450031280517578,1.3220404386520386,-0.02296268939971924,0.0010923612862825394
L0.H6,25,"1, 2,",0.053955078125,0.015625,False,1,3.0380711555480957,2.9594686031341553,-0.07860255241394043,0.011816147714853287
L0.H6,26,"November, December,",0.03369140625,0.0859375,False,1,2.9685099124908447,2.8971869945526123,-0.07132291793823242,0.00412696972489357
L0.H7,0,"10, 11,",0.006591796875,-0.0546875,False,1,3.2723989486694336,3.2723448276519775,-5.412101745605469e-05,0.0034783314913511276
L0.H7,1,"3, 4,",0.029296875,0.0703125,False,1,3.762195587158203,3.7671585083007812,0.004962921142578125,0.023821355774998665
L0.H7,2,"Monday, Tuesday,",-0.0009765625,0.046875,False,1,1.582030177116394,1.573390007019043,-0.008640170097351074,0.0005111140199005604
L0.H7,3,"5, 6,",0.0322265625,0.1640625,False,1,3.500905990600586,3.3863775730133057,-0.11452841758728027,0.007987749762833118
L0.H7,4,"4, 5,",0.0179443359375,0.2109375,False,1,3.9696288108825684,4.034596920013428,0.06496810913085938,0.0220438651740551
L0.H7,5,"7, 8,",0.01025390625,0.0234375,False,1,3.577009677886963,3.545973300933838,-0.031036376953125,0.004694991745054722
L0.H7,6,"North, East,",-0.001708984375,0.03125,False,1,2.096099615097046,2.087770938873291,-0.008328676223754883,0.0004683001898229122
L0.H7,7,"20, 21,",-0.00390625,-0.078125,False,1,3.33726167678833,3.3630614280700684,0.02579975128173828,0.0024331812746822834
L0.H7,8,"Saturday, Sunday,",0.017578125,0.171875,False,1,2.383121967315674,2.2515439987182617,-0.1315779685974121,0.003210066119208932
L0.H7,9,"February, March,",0.01171875,0.078125,False,1,1.405761480331421,1.3753808736801147,-0.030380606651306152,0.0007045891834422946
L0.H7,10,"2, 3,",-0.0013427734375,0.0,True,2,3.9650635719299316,3.9548254013061523,-0.010238170623779297,0.0277175884693861
